,actualarrivaltime,actualdeparturetime,aircrafttype,destination,destinationCity,destinationName,estimatedarrivaltime,ident,origin,originCity,originName
KEWR,0,1538960460,A319,KBOS,"Boston, MA",Boston Logan Intl,1538963220,UAL994,KEWR,"Newark, NJ",Newark Liberty Intl
KEWR,0,1538960427,B772,VABB,Mumbai,Chatrapati Shivaji Int'l,1539011460,UAL48,KEWR,"Newark, NJ",Newark Liberty Intl
KEWR,0,1538960305,A21N,KSFO,"San Francisco, CA",San Francisco Intl,1538979540,ASA1195,KEWR,"Newark, NJ",Newark Liberty Intl
KMCO,0,1538961654,A319,KDCA,"Washington, DC",Reagan National,1538967360,AAL1649,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538961631,A320,MDSD,Punta Caucedo,Las Americas,1538969220,JBU1705,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538961591,B737,KMSP,"Minneapolis, MN",Minneapolis/St Paul Intl,1538972340,SCX348,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538961430,A332,SBKP,"Campinas, Sao Paulo",Viracopos Int'l,1538990520,AZU8707,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538961318,B738,KMHT,"Manchester, NH",Manchester,1538970300,SWA5385,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538961185,B772,EGKK,"London, England",London Gatwick,1538988120,BAW2038,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538960830,A321,KIAH,"Houston, TX",Houston Bush Int'ctl,1538967780,NKS715,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538960728,B744,EDDF,Frankfurt am Main,Frankfurt Int'l,1538989440,DLH465,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538960569,A321,TJSJ,"San Juan, PR",Luis Munoz Marin Intl,1538969100,FFT1660,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538960220,B752,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,1538963940,DAL1684,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538960090,A320,TJSJ,"San Juan, PR",Luis Munoz Marin Intl,1538968800,NKS883,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538959851,B763,SBGR,Sao Paulo,São Paulo-Guarulhos Int'l,1538990640,TAM8087,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538959697,A320,KHPN,"White Plains, NY",Westchester County,1538968200,JBU1294,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538959569,B738,KPHL,"Philadelphia, PA",Philadelphia Intl,1538966520,AAL2525,KMCO,"Orlando, FL",Orlando Intl
KMCO,0,1538959440,B737,KBDL,"Windsor Locks, CT",Bradley Intl,1538967480,SWA1349,KMCO,"Orlando, FL",Orlando Intl
KPHL,0,1538961765,A321,KLAX,"Los Angeles, CA",Los Angeles Intl,1538980140,AAL1958,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961693,A319,KDCA,"Washington, DC",Reagan National,1538963133,AAL1825,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961634,A321,KDFW,"Dallas-Fort Worth, TX",Dallas-Fort Worth Intl,1538971860,AAL2057,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961540,E190,KCLE,"Cleveland, OH",Cleveland-Hopkins Intl,1538965140,AAL1987,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961477,A320,KAUS,"Austin, TX",Austin-Bergstrom Intl,1538972340,AAL1764,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961374,A359,OTHH,Doha,Hamad Int'l,1539003300,QTR728,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961278,E190,KIAH,"Houston, TX",Houston Bush Int'ctl,1538971200,AAL1892,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961235,E145,KLEX,"Lexington, KY",Blue Grass,1538965560,PDT4779,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961194,E190,KJAX,"Jacksonville, FL",Jacksonville Intl,1538967360,AAL1793,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961134,A321,KSAN,"San Diego, CA",San Diego Intl,1538979420,AAL2066,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538961063,E145,KUNV,"State College, PA",University Park Airport,1538962560,PDT4948,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538960940,A321,KDEN,"Denver, CO",Denver Intl,1538974200,FFT9210,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538960847,E190,KMCI,"Kansas City, MO",Kansas City Intl,1538969880,AAL1889,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538960762,B738,KTPA,"Tampa, FL",Tampa Intl,1538968560,AAL1208,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHL,0,1538960700,CRJ7,KSTL,"St Louis, MO",St Louis Lambert Intl,1538967420,JIA5211,KPHL,"Philadelphia, PA",Philadelphia Intl
KPHX,0,1538961660,A319,KDEN,"Denver, CO",Denver Intl,1538966520,UAL1044,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961625,A321,KSEA,"Seattle, WA",Seattle-Tacoma Intl,1538971380,AAL578,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961550,E75L,KLAX,"Los Angeles, CA",Los Angeles Intl,1538965320,SKW5968,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961480,B737,KMDW,"Chicago, IL",Chicago Midway Intl,1538971500,SWA2007,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961427,B737,KHOU,"Houston, TX",William P Hobby,1538969100,SWA5711,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961313,A320,KLAS,"Las Vegas, NV",McCarran Intl,1538964000,AAL425,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961235,B737,KLAX,"Los Angeles, CA",Los Angeles Intl,1538964900,SWA5391,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538961029,CRJ9,KONT,"Ontario, CA",Ontario Intl,1538963820,ASH5845,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960894,B737,KAUS,"Austin, TX",Austin-Bergstrom Intl,1538967420,SWA3774,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960711,C750,KSFO,"San Francisco, CA",San Francisco Intl,1538965772,XOJ717,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960566,B737,KSFO,"San Francisco, CA",San Francisco Intl,1538966400,SWA3657,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960470,A321,KSAN,"San Diego, CA",San Diego Intl,1538963520,AAL480,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960392,B737,KONT,"Ontario, CA",Ontario Intl,1538962800,SWA5210,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960234,B737,KSAN,"San Diego, CA",San Diego Intl,1538963280,SWA4985,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
KPHX,0,1538960125,B737,CYYC,"Calgary, Alberta",Calgary Int'l,1538970780,WJA1641,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl
kPDX,0,1538961720,B737,KSFO,"San Francisco, CA",San Francisco Intl,1538965980,SWA4230,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538961679,B737,KORD,"Chicago, IL",Chicago O'Hare Intl,1538974620,ASA634,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538961363,PC12,KPDT,"Pendleton, OR",Eastern Oregon Rgnl,1538964360,BTQ356,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538961322,B739,KDEN,"Denver, CO",Denver Intl,1538968740,UAL423,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538960760,DH8D,KRDM,"Redmond, OR",Roberts Field,1538962080,QXE2085,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538960569,DH8D,KEUG,"Eugene, OR",Mahlon Sweet Field,1538962189,QXE2237,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538960531,E545,CYVR,"Vancouver, British Columbia",Vancouver Int'l,1538963171,LXJ421,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538960040,B763,KGEG,"Spokane, WA",Spokane Intl,1538962740,UPS988,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538960028,E75L,KSMF,"Sacramento, CA",Sacramento Intl,1538963700,QXE2645,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538959915,B739,KLAX,"Los Angeles, CA",Los Angeles Intl,1538965740,ASA540,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538959672,E75L,KLAX,"Los Angeles, CA",Los Angeles Intl,1538965920,CPZ6032,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538959573,H25B,KIDA,"Idaho Falls, ID",Idaho Falls Rgnl,1538963818,JTL90,KPDX,"Portland, OR",Portland Intl
kPDX,1538961679,1538959440,DH8D,KSEA,"Seattle, WA",Seattle-Tacoma Intl,1538961840,QXE2256,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538959249,E75L,KONT,"Ontario, CA",Ontario Intl,1538965380,QXE2809,KPDX,"Portland, OR",Portland Intl
kPDX,0,1538958588,A320,KSAN,"San Diego, CA",San Diego Intl,1538965020,ASA1184,KPDX,"Portland, OR",Portland Intl
KSAN,0,1538961272,B737,KSFO,"San Francisco, CA",San Francisco Intl,1538965200,SWA5250,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538960490,B737,KMDW,"Chicago, IL",Chicago Midway Intl,1538972700,SWA5063,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538960330,B737,KSJC,"San Jose, CA",San Jose Int'l,1538964480,SWA4835,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538960110,A21N,KSFO,"San Francisco, CA",San Francisco Intl,1538963820,ASA1963,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538959931,A321,KDFW,"Dallas-Fort Worth, TX",Dallas-Fort Worth Intl,1538968680,AAL1624,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538959875,B350,KFAT,"Fresno, CA",Fresno Yosemite Intl,1538964540,N350FP,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538959802,E75L,KGEG,"Spokane, WA",Spokane Intl,1538970120,SKW3462,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538959130,B739,KSEA,"Seattle, WA",Seattle-Tacoma Intl,1538968920,ASA225,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538959007,B738,KSEA,"Seattle, WA",Seattle-Tacoma Intl,1538968860,SWA3804,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538958834,E75L,KSMF,"Sacramento, CA",Sacramento Intl,1538963580,SKW3344,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538958720,B737,KOAK,"Oakland, CA",Metropolitan Oakland Intl,1538963040,SWA5493,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538958573,E75L,KMCI,"Kansas City, MO",Kansas City Intl,1538968440,SKW3350,KSAN,"San Diego, CA",San Diego Intl
KSAN,0,1538958386,BE40,KFFZ,"Mesa, AZ",Falcon Fld,1538961975,JTL602,KSAN,"San Diego, CA",San Diego Intl
KSAN,1538959529,1538958050,E75S,KLAX,"Los Angeles, CA",Los Angeles Intl,1538959529,CPZ5811,KSAN,"San Diego, CA",San Diego Intl
KSAN,1538961269,1538957786,B737,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl,1538961269,SWA2564,KSAN,"San Diego, CA",San Diego Intl
KSFO,0,1538961747,A319,KBUR,"Burbank, CA",Bob Hope,1538964660,UAL2361,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961736,CRJ2,KRDM,"Redmond, OR",Roberts Field,1538966040,SKW5528,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961568,A320,KPDX,"Portland, OR",Portland Intl,1538966880,UAL2370,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961547,E75L,KSNA,"Santa Ana, CA",John Wayne,1538964840,QXE2161,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961384,A320,KLAS,"Las Vegas, NV",McCarran Intl,1538965500,ASA1910,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961374,A319,KPDX,"Portland, OR",Portland Intl,1538966880,ASA1387,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961180,C560,KVNY,"Van Nuys, CA",Van Nuys,1538964240,LAK557,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961035,B739,KLAS,"Las Vegas, NV",McCarran Intl,1538965380,UAL1544,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538961008,E75L,KOMA,"Omaha, NE",Eppley Airfield,1538972160,SKW5216,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538960893,A320,KLGB,"Long Beach, CA",Daugherty Field,1538964420,JBU1635,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538960891,B738,KSTL,"St Louis, MO",St Louis Lambert Intl,1538973180,UAL1444,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538960837,B789,EGLL,"London, England",London Heathrow,1538994000,VIR20,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538960776,E75L,KLAX,"Los Angeles, CA",Los Angeles Intl,1538964600,CPZ6045,KSFO,"San Francisco, CA",San Francisco Intl
KSFO,0,1538960746,B752,KEWR,"Newark, NJ",Newark Liberty Intl,1538978640,UAL213,KSFO,"San Francisco, CA",San Francisco Intl
KSEA,0,1538961749,B737,PANC,"Anchorage, AK",Anchorage Intl,1538974769,ASA187,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961655,A321,KLAX,"Los Angeles, CA",Los Angeles Intl,1538967840,ASA1078,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961540,A319,KSFO,"San Francisco, CA",San Francisco Intl,1538966820,UAL214,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961424,CRJ9,CYVR,"Vancouver, British Columbia",Vancouver Int'l,1538962730,JZA8098,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961300,B738,KPHX,"Phoenix, AZ",Phoenix Sky Harbor Intl,1538968980,SWA3798,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961296,B737,KSTL,"St Louis, MO",St Louis Lambert Intl,1538973420,ASA712,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961182,B763,EHAM,Amsterdam,Amsterdam Schiphol,1538994240,DAL144,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961070,B77W,OMDB,Dubai,Dubai Int'l,1539012120,UAE230,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538961005,DH8D,KPSC,"Pasco, WA",Tri-Cities,1538963040,QXE2360,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538960850,DH8D,KBLI,"Bellingham, WA",Bellingham Intl,1538962593,QXE2490,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538960810,B737,PHKO,"Kailua/Kona, HI",Ellison Onizuka Kona Intl At Keahole,1538979720,ASA875,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538960700,B738,PHOG,"Kahului, HI",Kahului,1538980140,ASA831,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538960620,B738,PHLI,"Lihue, HI",Lihue,1538979720,ASA839,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538960541,DH8D,KMSO,"Missoula, MT",Missoula Intl,1538964180,QXE2394,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KSEA,0,1538960460,B738,KGEG,"Spokane, WA",Spokane Intl,1538962440,ASA118,KSEA,"Seattle, WA",Seattle-Tacoma Intl
KTPA,0,1538961308,B763,KBWI,"Baltimore, MD",Baltimore/Washington Intl,1538968380,GTI3533,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538960400,B737,KBNA,"Nashville, TN",Nashville Intl,1538964900,SWA4862,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538959911,A320,KBOS,"Boston, MA",Boston Logan Intl,1538968980,NKS798,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538959824,A320,KBOS,"Boston, MA",Boston Logan Intl,1538968680,DAL1660,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538958930,B738,KSTL,"St Louis, MO",St Louis Lambert Intl,1538965560,SWA1752,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538958822,A320,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,1538962920,NKS942,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538958715,A321,CYYZ,"Toronto, Ontario",Toronto Pearson Int'l,1538966280,ROU1659,KTPA,"Tampa, FL",Tampa Intl
KTPA,1538961698,1538957950,B737,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,1538961698,SWA3727,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538957760,A320,KCLT,"Charlotte, NC",Charlotte/Douglas Intl,1538962260,AAL1748,KTPA,"Tampa, FL",Tampa Intl
KTPA,1538960315,1538957754,B737,KFLL,"Fort Lauderdale, FL",Fort Lauderdale Intl,1538960315,SWA4655,KTPA,"Tampa, FL",Tampa Intl
KTPA,1538961536,1538957640,B752,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,1538961536,DAL2130,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538957457,A333,LSZH,Zurich,Zurich (Kloten),1538988840,EDW5,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538957312,B738,KPVD,"Providence, RI",Green State,1538965920,SWA5140,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538957218,B739,KIAH,"Houston, TX",Houston Bush Int'ctl,1538963460,UAL1234,KTPA,"Tampa, FL",Tampa Intl
KTPA,0,1538956800,B738,KIAD,"Washington, DC",Washington Dulles Intl,1538963100,UAL352,KTPA,"Tampa, FL",Tampa Intl
KDCA,0,1538961606,E145,KCLE,"Cleveland, OH",Cleveland-Hopkins Intl,1538965020,ASQ3982,KDCA,"Washington, DC",Reagan National
KDCA,0,1538961414,E75L,KORD,"Chicago, IL",Chicago O'Hare Intl,1538966820,SKW5768,KDCA,"Washington, DC",Reagan National
KDCA,0,1538961360,B738,KORD,"Chicago, IL",Chicago O'Hare Intl,1538966640,AAL2499,KDCA,"Washington, DC",Reagan National
KDCA,0,1538961224,B737,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,1538966100,SWA3130,KDCA,"Washington, DC",Reagan National
KDCA,0,1538961060,E190,KBOS,"Boston, MA",Boston Logan Intl,1538964480,AAL2150,KDCA,"Washington, DC",Reagan National
KDCA,0,1538961007,A319,KTPA,"Tampa, FL",Tampa Intl,1538967907,AAL1745,KDCA,"Washington, DC",Reagan National
KDCA,0,1538960627,E75L,KEWR,"Newark, NJ",Newark Liberty Intl,1538963100,RPA3524,KDCA,"Washington, DC",Reagan National
KDCA,0,1538960045,E190,KFLL,"Fort Lauderdale, FL",Fort Lauderdale Intl,1538967600,JBU1479,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959846,CRJ2,KTYS,"Knoxville, TN",Mc Ghee Tyson,1538963520,JIA5484,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959709,CRJ2,CYOW,"Ottawa, Ontario",Ottawa Macdonald-Cartier Int'l,1538963460,JZA8453,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959643,E75S,KHSV,"Huntsville, AL",Huntsville Intl,1538965020,RPA4621,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959593,CRJ7,KSAV,"Savannah, GA",Savannah/Hilton Head Intl,1538964480,JIA5599,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959508,A321,KATL,"Atlanta, GA",Hartsfield-Jackson Intl,1538964180,DAL1224,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959419,E75S,KPIT,"Pittsburgh, PA",Pittsburgh Intl,1538961600,RPA4539,KDCA,"Washington, DC",Reagan National
KDCA,0,1538959200,A319,KBOS,"Boston, MA",Boston Logan Intl,1538962920,AAL2144,KDCA,"Washington, DC",Reagan National
